obj_id,obj_type,obj_variant,trial,hexagram_name,hexagram_similarity,strategy_type,force_preset,modifier,effective_force,S_yao,inference_ms,strategy_label,difficulty,occluded,yao_relations_enabled
26,plate,纸盘,1,MINGYI,0.9696,low_visibility_grasp,0.45,1.0,0.45,0.64,3.43,neutral,medium,True,True
26,plate,纸盘,2,MINGYI,0.9696,low_visibility_grasp,0.45,1.0,0.45,0.64,3.69,neutral,medium,True,True
27,plate,塑料盘,0,LI_GUA,0.9934,adhesion_grasp,0.4,1.0,0.4,0.65,3.72,neutral,medium,False,True
27,plate,塑料盘,1,LI_GUA,0.9934,adhesion_grasp,0.4,1.0,0.4,0.65,3.49,neutral,medium,False,True
27,plate,塑料盘,2,LI_GUA,0.9934,adhesion_grasp,0.4,1.0,0.4,0.65,3.57,neutral,medium,False,True
28,plate,瓷盘,0,LI_GUA,0.9424,adhesion_grasp,0.38,0.95,0.36,0.76,3.6,neutral,medium,False,True
28,plate,瓷盘,1,LI_GUA,0.9424,adhesion_grasp,0.38,0.95,0.36,0.76,3.48,neutral,medium,False,True
28,plate,瓷盘,2,LI_GUA,0.9424,adhesion_grasp,0.38,0.95,0.36,0.76,3.47,neutral,medium,False,True
29,plate,瓷盘,0,SUN,0.9901,reduced_force_grasp,0.25,1.0,0.25,0.64,3.52,neutral,medium,False,True
29,plate,瓷盘,1,SUN,0.9901,reduced_force_grasp,0.25,1.0,0.25,0.64,3.51,neutral,medium,False,True
29,plate,瓷盘,2,SUN,0.9901,reduced_force_grasp,0.25,1.0,0.25,0.64,3.35,neutral,medium,False,True
30,rock,光滑卵石,0,LU_GUA,0.993,conditional_grasp,0.47,0.85,0.4,0.38,3.61,neutral,medium,False,True
30,rock,光滑卵石,1,LU_GUA,0.993,conditional_grasp,0.47,0.85,0.4,0.38,3.55,neutral,medium,False,True
30,rock,光滑卵石,2,LU_GUA,0.993,conditional_grasp,0.47,0.85,0.4,0.38,3.46,neutral,medium,False,True
31,rock,不规则石块,0,GU,0.997,corrective_grasp,0.47,1.05,0.49,0.56,3.44,neutral,medium,False,True
31,rock,不规则石块,1,GU,0.997,corrective_grasp,0.47,1.05,0.49,0.56,3.53,neutral,medium,False,True
31,rock,不规则石块,2,GU,0.997,corrective_grasp,0.47,1.05,0.49,0.56,3.65,neutral,medium,False,True
32,rock,光滑卵石,0,KUI,0.9838,adaptive_irregular_grasp,0.47,1.05,0.49,0.56,3.43,reasonable,medium,False,True
32,rock,光滑卵石,1,KUI,0.9838,adaptive_irregular_grasp,0.47,1.05,0.49,0.56,3.46,reasonable,medium,False,True
32,rock,光滑卵石,2,KUI,0.9838,adaptive_irregular_grasp,0.47,1.05,0.49,0.56,3.5,reasonable,medium,False,True
33,rock,不规则石块,0,GOU,0.9864,adaptive_grasp,0.45,0.9,0.41,0.51,3.67,reasonable,medium,False,True
33,rock,不规则石块,1,GOU,0.9864,adaptive_grasp,0.45,0.9,0.41,0.51,3.62,reasonable,medium,False,True
33,rock,不规则石块,2,GOU,0.9864,adaptive_grasp,0.45,0.9,0.41,0.51,3.46,reasonable,medium,False,True
34,rock,不规则石块,0,JIAN,0.9835,difficult_grasp,0.45,0.9,0.41,0.51,3.61,neutral,medium,False,True
